No. ,Title,Score,Author,Price
1,정보처리기사 실기 (1권+2권 합본세트)(2020)(시나공)(시나공 시리즈 34),"

                                                        		
                                                        		
                                                        		
                                                        		9.6
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",김정준,"29,700원"
2,혼자 공부하는 파이썬,"

                                                        		
                                                        		
                                                        		
                                                        		9.6
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",윤인성,"16,200원"
3,유튜브 영상 편집을 위한 프리미어 프로,"

                                                        		
                                                        		
                                                        		
                                                        		9.9
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",조블리(조애리),"20,700원"
4,CODE(Program Programming Programmer 6),"

                                                        		
                                                        		
                                                        		
                                                        		9.4
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",찰스 펫졸드,"22,500원"
5,두근두근 파이썬,"

                                                        		
                                                        		
                                                        		
                                                        		8.6
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",천인국,"24,000원"
6,직장인을 위한 실무 엑셀(개정판),"

                                                        		
                                                        		
                                                        		
                                                        		9.3
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",선양미,"18,900원"
7,해커스 전산회계 1급 이론+실기+기출문제(2020),"

                                                        		
                                                        		
                                                        		
                                                        		7.5
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",이남호,"23,310원"
8,정보처리기사 필기(2020)(시나공),"

                                                        		
                                                        		
                                                        		
                                                        		8.7
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗알앤디,"27,900원"
9,컴퓨터활용능력 2급 필기(2020)(시나공 총정리),"

                                                        		
                                                        		
                                                        		
                                                        		8.7
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"12,600원"
10,컴퓨터활용능력 1급 필기(2020)(시나공 총정리),"

                                                        		
                                                        		
                                                        		
                                                        		8.3
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"17,100원"
11,컴퓨터활용능력 1급 실기(2020)(시나공),"

                                                        		
                                                        		
                                                        		
                                                        		9.7
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"32,400원"
12,C언어 Express(쉽게 풀어쓴)(개정판 3판),"

                                                        		
                                                        		
                                                        		
                                                        		8.2
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",천인국,"30,000원"
13,Do it! 점프 투 파이썬,"

                                                        		
                                                        		
                                                        		
                                                        		9.1
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",박응용,"16,920원"
14,맛있는 디자인 포토샵&일러스트레이터 CC 2020,"

                                                        		
                                                        		
                                                        		
                                                        		9.8
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",빨간고래,"19,800원"
15,전산세무 2급 이론+실기+기출문제(2020)(해커스),"

                                                        		
                                                        		
                                                        		0
                                                        		
                                                        	
/
10
",이남호,"23,310원"
16,이산수학(4차 산업혁명 시대의)(개정판),"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",김대수,"27,550원"
17,컴퓨터활용능력 2급실기(2020)(시나공),"

                                                        		
                                                        		
                                                        		
                                                        		9.7
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"19,800원"
18,전산회계 2급 이론+실기+기출문제(2020)(해커스),"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",이남호,"15,210원"
19,컴퓨팅 사고 Level Up 소프트 파워 with 스크래치,"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",김호다,"23,000원"
20,앱 인벤터(쉽고 재미있게 만드는 앱 프로그래밍)(2판),"

                                                        		
                                                        		
                                                        		0
                                                        		
                                                        	
/
10
",이종원,"24,000원"
21,C로 배우는 쉬운 자료구조(개정판 3판)(IT Cookbook 203),"

                                                        		
                                                        		
                                                        		
                                                        		9.2
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",이지영,"27,000원"
22,밑바닥부터 시작하는 딥러닝,"

                                                        		
                                                        		
                                                        		
                                                        		9.4
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",사이토 고키,"21,600원"
23,C언어 콘서트(누구나 쉽게 즐기는)(개정판)(C언어 달인 만들기 프로젝트 1),"

                                                        		
                                                        		
                                                        		
                                                        		9.3
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",천인국,"26,000원"
24,4차 산업혁명 시대의 컴퓨터 개론(개정판 6판),"

                                                        		
                                                        		
                                                        		
                                                        		9
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",김대수,"26,000원"
25,무조건 적중하는 COS 2급,"

                                                        		
                                                        		
                                                        		0
                                                        		
                                                        	
/
10
",김노환,"16,200원"
26,리팩터링(2판),"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",마틴 파울러,"31,500원"
27,정보처리기사 실기 핵심이론+예상문제집 세트(2020)(이기적)(전2권),"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",이상흠,"24,300원"
28,안드로이드 앱 프로그래밍(Do it!)(7판),"

                                                        		
                                                        		
                                                        		
                                                        		8.6
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",정재곤,"36,000원"
29,된다! 김메주의 유튜브 영상 만들기,"

                                                        		
                                                        		
                                                        		
                                                        		9
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",김혜주,"14,400원"
30,시나공 컴퓨터활용능력 1급 필기(2020)(시나공기본서 19),"

                                                        		
                                                        		
                                                        		
                                                        		9.6
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"27,000원"
31,맛있는 디자인 포토샵 CC 2020,"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",윤이사라,"18,900원"
32,윤성우의 열혈 C 프로그래밍(개정판),"

                                                        		
                                                        		
                                                        		
                                                        		9.5
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",윤성우,"22,500원"
33,프로크리에이트로 시작하는 아이패드 드로잉,"

                                                        		
                                                        		
                                                        		
                                                        		9.9
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",수지(허수정),"21,600원"
34,시나공 컴퓨터활용능력 2급 필기(2020),"

                                                        		
                                                        		
                                                        		
                                                        		8.7
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",길벗R&D,"18,000원"
35,명품 JAVA Programming(개정판 4판),"

                                                        		
                                                        		
                                                        		
                                                        		8.2
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",황기태,"33,000원"
36,컴퓨터 개론(소프트웨어 중심사회의),"

                                                        		
                                                        		
                                                        		
                                                        		9.4
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",강환수,"27,000원"
37,C++ Programming(명품)(개정판),"

                                                        		
                                                        		
                                                        		
                                                        		10
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",황기태,"30,000원"
38,자료구조(C언어로 쉽게 풀어 쓴)(개정판 3판),"

                                                        		
                                                        		
                                                        		
                                                        		8.8
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",천인국,"29,000원"
39,"XAI 설명 가능한 인공지능, 인공지능을 해부하다(위키북스 데이터 사이언스 시리즈 53)","

                                                        		
                                                        		
                                                        		0
                                                        		
                                                        	
/
10
",안재현,"25,200원"
40,회사에서 바로 통하는 엑셀 For Starters,"

                                                        		
                                                        		
                                                        		
                                                        		9.4
                                                        		
                                                        		
                                                        		
                                                        	
/
10
",전미진,"13,500원"
